@id	@lon	@lat	name	website
21015347	15.4323850	47.0298732	Puntigamer Brauhaus	
21306981	15.4782858	47.0514201	Kings Wok	
26412910	15.4710757	47.0308197	Venier's	http://www.veniers.com
26899232	15.4482614	47.0756757	Propeller	http://www.propeller.co.at/
31622693	15.4557529	47.0468523	Hooters	
31622762	15.4617155	47.0381370	Römerstube	
31622775	15.4696412	47.0594344	Cuba	http://www.cafe-bar-cuba.at
31622878	15.4800526	47.0502833	San Pedro	http://www.sanpietro.at
31625406	15.4691032	47.0667357	Hubert Auer	
31625408	15.4605827	47.0678349	Philipp	http://www.konditorei-philipp.at
31625430	15.4377900	47.0669485	Gösser Bräu	http://www.goesserbraeugraz.at
36790855	15.4266559	47.0659601	Nil	http://nil.mur.at/
49192602	15.4375989	47.0740742	Aiola upstairs	
63621200	15.4523885	47.0726465	pharmacy bar	www.pharmacy-bar.com
251710887	15.4337489	47.0717298	Cafe Centraal	http://www.centraal.at/
251710888	15.4344504	47.0706420	Tribeka	www.tribeka.at
251710889	15.4339001	47.0710287	Kunsthauscafé	http://www.museum-joanneum.at/kunsthaus-graz/ihr-besuch/kunsthauscafe
251710890	15.4358726	47.0708520	Schwalbennest	
251710891	15.4387693	47.0705402	Sacher	
251710897	15.4407955	47.0711946	Eckstein	
251711052	15.4412508	47.0707092	Frankowitsch	http://www.frankowitsch.at/
251711053	15.4407441	47.0729828	Cafe Mitte	http://www.cafemitte.at
251711054	15.4400347	47.0735797	SternBar	
256098169	15.4108216	47.0536389	Mario's Treff	
256488416	15.4246652	47.0634958	For You	
257412119	15.4237922	47.0669589	Gasthaus Doppler	
257412122	15.4250872	47.0672467	Ungerhof	http://www.ungerhof.at/
257412123	15.4255190	47.0670288	Cafe Monaco	
257412125	15.4269241	47.0673459	Prince Charles	
257732193	15.4346064	47.0733391	Insel Café	
260443425	15.4087927	47.0719098	Ritzi's	
266332008	15.4161184	47.0550379	Cafe-Restaurant Elisabeth	
266479122	15.4361044	47.0714641	Flann O'Brien	http://www.flannobrien.at/
267255311	15.4748214	47.0564316	Kirchenwirt (vulgo Zechner)	http://www.kirchenwirt-stpeter.gws.cc/
267255441	15.4725518	47.0567185	Alibi	
